method,k,n_points,n_seqs,mae,rmse,nll,nll_clipped,nll_median_seq,coverage68,coverage95
mlp_gaussian,1,1545472,6037,0.6160233885824868,0.8464751645446977,1.023569094885143,1.0195691771127273,1.3508001565933228,0.687864290003313,0.9435997546380652
mlp_gaussian,2,1545472,6037,0.6174610830236863,0.8505541994393245,1.0224266769576595,1.0206756717499197,1.3518955707550049,0.6889092782010933,0.9437518117442438
mlp_gaussian,4,1545472,6037,0.6201323455707761,0.8567710394942776,1.0328005138924723,1.0271003243407113,1.355011224746704,0.6911519587543482,0.944770917881398
mlp_gaussian,8,1545472,6037,0.6239834835174953,0.8600249640243717,1.0463465607223863,1.0385160738582535,1.3581476211547852,0.6953196175666722,0.9461931371128044
mlp_gaussian,16,1545472,6037,0.6273790520670024,0.869842171985176,1.223843483358985,1.0552187621790476,1.3594528436660767,0.7043809269918834,0.9493843951880073
mlp_gaussian,32,1545472,6037,0.6391305668211341,0.8793042736073098,1.133636473522395,1.098973628313413,1.366391897201538,0.7148262796090774,0.9525659474904754
mlp_gaussian,64,1545472,6037,0.660629463293052,0.8982429097382846,1.207181433353114,1.1840197912268329,1.3772222995758057,0.7240480578101706,0.9548875683286401
mlp_gaussian,128,1545472,6037,0.7010085457133421,0.933897720751597,1.3073449415862541,1.30069154942734,1.3939279317855835,0.7271448463640882,0.9538289920490309
mlp_gaussian,256,1545472,6037,0.7438782592774109,0.9695696509806185,1.3822663513974716,1.3709675330524909,1.4010388851165771,0.7214837926536359,0.9574330689912208
mlp_gaussian,512,1545472,6037,0.7819413973985178,0.9964533823936736,1.4111635020400428,1.4050026635904866,1.4086825847625732,0.7044980433162167,0.9605253281845287
mlp_gaussian,1024,1545472,6037,0.7835174600094068,0.998665244464599,1.4183593106147407,1.4102234597116863,1.4128508567810059,0.70920469604108,0.9640148770084479
mlp_gaussian,2048,1545472,6037,0.7836059557595789,0.9981895501692273,1.4197232587380542,1.4109286539242998,1.4160239696502686,0.6970821858953122,0.9603603300480371
nn_mean,1,1545472,6037,0.7346291574618659,1.0046133677563942,1.4235433014058823,1.421863767748067,1.554391622543335,0.7205695088620175,0.9373595898211032
nn_mean,2,1545472,6037,0.7356810481252829,1.0069532393591178,1.4259000032355262,1.4229441652022312,1.5540164709091187,0.7185319436392248,0.9360900747473911
nn_mean,4,1545472,6037,0.7426148832855718,1.0190732653706926,1.4379031010785401,1.4303186065672406,1.5562951564788818,0.7182129472420076,0.9372288854149412
nn_mean,8,1545472,6037,0.7531681348405703,1.0332693807627558,1.4516877961194297,1.4457953384978222,1.5559037923812866,0.7231544796670532,0.9404945544144443
nn_mean,16,1545472,6037,0.7535911415170904,1.0398092737185765,1.4579812767036866,1.4454892933497034,1.5560482740402222,0.7233020074126222,0.9408374917177406
nn_mean,32,1545472,6037,0.7652315605667518,1.051511842640228,1.4691887891547302,1.4581609138771854,1.562328577041626,0.7249714003230081,0.9427773521616697
nn_mean,64,1545472,6037,0.7897156875417641,1.072880384442192,1.4894126863575976,1.4820737209228445,1.5711565017700195,0.724650462771244,0.9454212046546298
nn_mean,128,1545472,6037,0.832816062665734,1.1145430950452715,1.52738423426064,1.5229903309081039,1.5846338272094727,0.7143345204571807,0.9435434611562035
nn_mean,256,1545472,6037,0.871490726987613,1.1525722467771355,1.5610411677195455,1.5525439001776553,1.5947248935699463,0.7165053782921981,0.9494167477637899
nn_mean,512,1545472,6037,0.9297186175059834,1.2026262916174937,1.6035430006027538,1.5980980277397152,1.6067551374435425,0.6975176515653471,0.9475047105350339
nn_mean,1024,1545472,6037,0.9709235897569422,1.2449512455566523,1.6380501822839217,1.6328887288215364,1.6166551113128662,0.6936198132350505,0.9502210327977473
nn_mean,2048,1545472,6037,0.9664138781969094,1.2412938432689269,1.635094344428345,1.6289609559664016,1.6208198070526123,0.6962921359946993,0.9516529578018884
rnn_flow,1,0,6037,nan,nan,1.1208797590857988,1.1136339719078514,1.355776071548462,nan,nan
rnn_flow,2,0,6037,nan,nan,1.125220790734306,1.116034389497988,1.357598900794983,nan,nan
rnn_flow,4,0,6037,nan,nan,1.1306051291804282,1.1191909865479122,1.357581615447998,nan,nan
rnn_flow,8,0,6037,nan,nan,1.1344086901803176,1.125305516659775,1.35873281955719,nan,nan
rnn_flow,16,0,6037,nan,nan,1.1507019346607061,1.1359386724952583,1.361961841583252,nan,nan
rnn_flow,32,0,6037,nan,nan,1.169117535479854,1.1581754626434961,1.3660235404968262,nan,nan
rnn_flow,64,0,6037,nan,nan,1.2136936009911974,1.2052894448495861,1.3782591819763184,nan,nan
rnn_flow,128,0,6037,nan,nan,1.2832138692908925,1.2790572389422508,1.392970085144043,nan,nan
rnn_flow,256,0,6037,nan,nan,1.3545644386213767,1.3443840512426108,1.3999521732330322,nan,nan
rnn_flow,512,0,6037,nan,nan,1.424703378066191,1.418404454591531,1.4093912839889526,nan,nan
rnn_flow,1024,0,6037,nan,nan,1.4349466577278416,1.426706131689,1.4158991575241089,nan,nan
rnn_flow,2048,0,6037,nan,nan,1.4285869807799723,1.4202544716231096,1.4232620000839233,nan,nan
window_mean,1,1545472,6037,0.6213791625270629,0.8512616726110764,1.2579126970665688,1.250952146859759,1.3670183420181274,0.7198208702584065,0.9395466239440119
window_mean,2,1545472,6037,0.6226547676853925,0.8552479143882104,1.262585692804974,1.252923325195363,1.368201732635498,0.7207629772651979,0.940130911462647
window_mean,4,1545472,6037,0.6239403148911583,0.8601351107630485,1.2683845897749282,1.2543728210998328,1.3666417598724365,0.7198072821765777,0.9393402145105185
window_mean,8,1545472,6037,0.6265836023041077,0.8615363312386279,1.2699930605972092,1.2590466174578576,1.369557499885559,0.7193608166307769,0.9396469169289382
window_mean,16,1545472,6037,0.6330634519369576,0.8758532304129133,1.286464991920216,1.2678542686393368,1.3698854446411133,0.7227377784909723,0.9420015373944012
window_mean,32,1545472,6037,0.6472271484570756,0.888170835210375,1.3004405486755504,1.2863844293759756,1.3762104511260986,0.7279737193556403,0.9462377836673844
window_mean,64,1545472,6037,0.6742143318657475,0.9162770055533898,1.3317405164528113,1.3215404752668451,1.3881464004516602,0.727703251822097,0.9486635797995693
window_mean,128,1545472,6037,0.7154644743121478,0.9593093576670676,1.3774072399928472,1.3725169269438708,1.4042444229125977,0.7170256077107835,0.9444448039175087
window_mean,256,1545472,6037,0.750496860057318,0.9952405219023407,1.414320563873116,1.4041796151881227,1.4131169319152832,0.7207480950803379,0.9508713195709789
window_mean,512,1545472,6037,0.8086256427415479,1.0508197097346104,1.4688196136537957,1.462984479508377,1.4282296895980835,0.6990958102120258,0.9453351468030479
window_mean,1024,1545472,6037,0.8500931188698654,1.0991995792904292,1.51356466487482,1.5069888739746218,1.44649076461792,0.6997040386367401,0.9480961156203412
window_mean,2048,1545472,6037,0.8443041227045824,1.0904916856716778,1.5055735121899652,1.4990244099926786,1.4481086730957031,0.7030344127878085,0.9500495641460991
